iter,loss_G,loss_D
1151,0.48096218705177307,0.07203443348407745
1152,0.9176725149154663,0.42538049817085266
1153,0.6637147665023804,0.10160645097494125
1154,0.6300883293151855,0.2471179962158203
1155,0.4182265102863312,0.029624570161104202
1156,0.5571285486221313,0.17335236072540283
1157,0.4903435707092285,0.20845365524291992
1158,0.796187162399292,0.05566546320915222
1159,0.6592905521392822,0.34568607807159424
1160,0.41969436407089233,0.05075327306985855
1161,0.5137729644775391,0.0915190801024437
1162,0.4673267602920532,0.2817770838737488
1163,1.1079875230789185,0.04956992715597153
1164,0.5306382775306702,0.035214707255363464
1165,0.5380576252937317,0.05363789200782776
1166,0.47068965435028076,0.05655301362276077
1167,0.47904956340789795,0.02941572666168213
1168,0.46882736682891846,0.038350753486156464
1169,0.6218020915985107,0.09745575487613678
1170,0.5182315111160278,0.04139438271522522
1171,0.5360153913497925,0.0320267416536808
1172,0.38053658604621887,0.16518975794315338
1173,0.4633975625038147,0.05570773035287857
1174,0.7247012853622437,0.0346684455871582
1175,0.4743068516254425,0.054408639669418335
1176,0.5245851874351501,0.25284308195114136
1177,0.6370948553085327,0.3770923614501953
1178,0.5275782346725464,0.07893657684326172
1179,0.7457946538925171,0.07691988348960876
1180,0.786278247833252,0.16316862404346466
1181,0.5182273387908936,0.07596689462661743
1182,0.4939364194869995,0.12182408571243286
1183,0.6261574625968933,0.11036288738250732
1184,0.5261086225509644,0.029279064387083054
1185,0.4456811547279358,0.0382460281252861
1186,0.4327423572540283,0.052204255014657974
1187,0.5183290839195251,0.16349181532859802
1188,0.6463295221328735,0.10018469393253326
1189,0.47111737728118896,0.07971298694610596
1190,0.5799497365951538,0.05177217349410057
1191,0.4715723991394043,0.05779578536748886
1192,0.41038456559181213,0.02298874408006668
1193,0.40370070934295654,0.024303149431943893
1194,0.4149974286556244,0.017115674912929535
1195,0.6359937191009521,0.18999913334846497
1196,0.5902909636497498,0.19808721542358398
1197,0.5017102956771851,0.06704957038164139
1198,0.5204299688339233,0.09915947914123535
1199,0.7302073836326599,0.06443335115909576
1200,0.4981677532196045,0.18910056352615356
1201,0.48971933126449585,0.02493762969970703
1202,0.5628807544708252,0.012276615016162395
1203,0.5861244201660156,0.061430882662534714
1204,0.4360331892967224,0.01308123767375946
1205,0.4221440851688385,0.026492100208997726
1206,0.42291775345802307,0.047356978058815
1207,0.43954819440841675,0.027762170881032944
1208,0.4551528990268707,0.0396261103451252
1209,0.5259970426559448,0.04883576184511185
1210,0.670863687992096,0.010617546737194061
1211,0.5796828866004944,0.03548107296228409
1212,0.44578301906585693,0.0559488981962204
1213,0.4751300513744354,0.17189204692840576
1214,0.5485820174217224,0.10060381889343262
1215,0.44088590145111084,0.10627596080303192
1216,0.5406686067581177,0.052028413861989975
1217,0.4940511882305145,0.013794030994176865
1218,0.5212848782539368,0.15524472296237946
1219,0.6034424304962158,0.05321445316076279
1220,0.6264162063598633,0.03781818598508835
1221,0.43029290437698364,0.17330890893936157
1222,0.8185060024261475,0.09412011504173279
1223,0.6491636037826538,0.14619722962379456
1224,0.5153678059577942,0.04203454405069351
1225,0.46952223777770996,0.21941982209682465
1226,0.7178261280059814,0.08360666781663895
1227,0.47697535157203674,0.09898402541875839
1228,0.6078658103942871,0.03125699982047081
1229,0.5071540474891663,0.08187129348516464
1230,0.39580705761909485,0.029142476618289948
1231,0.474015474319458,0.029762256890535355
1232,0.6346732974052429,0.07222400605678558
1233,0.45610976219177246,0.08400268107652664
1234,0.6248014569282532,0.02218359336256981
1235,0.5188419222831726,0.027439476922154427
1236,0.458322674036026,0.03075437992811203
1237,0.5122511982917786,0.09254050999879837
1238,0.3907950520515442,0.02866191789507866
1239,0.37118908762931824,0.11409155279397964
1240,0.6511719822883606,0.3017691969871521
1241,0.7359930872917175,0.07525825500488281
1242,0.44155335426330566,0.07747343182563782
1243,0.40877920389175415,0.046498917043209076
1244,0.5568262338638306,0.03353142738342285
1245,0.4935786724090576,0.023085132241249084
1246,0.4184763431549072,0.03617027401924133
1247,0.4864670932292938,0.01758284494280815
1248,0.4750014543533325,0.03879448398947716
1249,0.48102182149887085,0.052759382873773575
1250,0.43029940128326416,0.014478262513875961
1251,0.3408675491809845,0.027029309421777725
1252,0.5039770603179932,0.25499865412712097
